pcds,laua,lat,long
BS1 1QQ,E06000023,51.453327,-2.593184
BS1 1QR,E06000023,51.453536,-2.592712
BS1 1QS,E06000023,51.452674,-2.594312
BS1 1QW,E06000023,51.453536,-2.592712
BS1 1QZ,E06000023,51.453778,-2.59283
BS1 1RA,E06000023,51.453657,-2.59362
BS1 1RB,E06000023,51.453592,-2.594123
BS1 1RD,E06000023,51.452666,-2.595751
BS1 1RE,E06000023,51.452674,-2.594312
BS1 1RG,E06000023,51.453555,-2.594309
BS1 1RP,E06000023,51.453558,-2.597202
BS1 1RQ,E06000023,51.452674,-2.594312
BS1 1RR,E06000023,51.453558,-2.597202
BS1 1RS,E06000023,51.452666,-2.595751
BS1 1RT,E06000023,51.453664,-2.59588
BS1 1RU,E06000023,51.45358,-2.596497
BS1 1RX,E06000023,51.45358,-2.596497
BS1 1RZ,E06000023,51.452659,-2.59719
BS1 1SA,E06000023,51.453263,-2.59648
BS1 1SB,E06000023,51.453248,-2.596306
BS1 1SD,E06000023,51.453299,-2.596897
BS1 1SE,E06000023,51.453215,-2.595672
BS1 1SF,E06000023,51.452659,-2.59719
BS1 1SH,E06000023,51.452666,-2.595751
BS1 1SJ,E06000023,51.452666,-2.595751
BS1 1SL,E06000023,51.453188,-2.595715
BS1 1SN,E06000023,51.452666,-2.595751
BS1 1SQ,E06000023,51.452666,-2.595751
BS1 1SR,E06000023,51.453241,-2.595874
BS1 1SS,E06000023,51.453558,-2.597202
BS1 1SU,E06000023,51.453558,-2.597202
BS1 1SW,E06000023,51.452666,-2.595751
BS1 1SX,E06000023,51.452659,-2.59719
BS1 1SY,E06000023,51.452659,-2.59719
BS1 1SZ,E06000023,51.452659,-2.59719
BS1 1TE,E06000023,51.453573,-2.594324
BS1 1TG,E06000023,51.453806,-2.59437
BS1 1TH,E06000023,51.453565,-2.595763
BS1 1TL,E06000023,51.453565,-2.595763
BS1 1TP,E06000023,51.453724,-2.594743
BS1 1TS,E06000023,51.453815,-2.594414
BS1 1TU,E06000023,51.453565,-2.595763
BS1 1TX,E06000023,51.453565,-2.595763
BS1 1TY,E06000023,51.453565,-2.595763
BS1 1TZ,E06000023,51.453565,-2.595763
BS1 1UA,E06000023,51.453646,-2.593679
BS1 1UB,E06000023,51.4539,-2.593637
BS1 1UD,E06000023,51.453573,-2.594324
BS1 1UE,E06000023,51.453839,-2.592948
BS1 1UF,E06000023,51.453573,-2.594324
BS1 1UG,E06000023,51.453573,-2.594324
BS1 1UH,E06000023,51.45358,-2.592885
BS1 1UJ,E06000023,51.453565,-2.595763
BS1 1UQ,E06000023,51.454121,-2.592619
BS1 1WH,E06000023,51.452796,-2.593191
BS1 1XA,E06000023,51.454051,-2.595669
BS1 1XB,E06000023,51.453558,-2.597202
BS1 1XD,E06000023,51.453565,-2.595763
BS1 1XE,E06000023,51.453786,-2.596572
BS1 1XF,E06000023,51.453932,-2.596156
BS1 1XG,E06000023,51.453558,-2.597202
